OBJECTID,DATASET_E,DATASET_C,ADDRESS_E,ADDRESS_C,SEARCH1_E,SEARCH1_C,SEARCH2_E,SEARCH2_C,NSEARCH1_E,NSEARCH1_C,NSEARCH2_E,NSEARCH2_C,NSEARCH3_E,NSEARCH3_C,NSEARCH4_E,NSEARCH4_C,NSEARCH5_E,NSEARCH5_C,LATITUDE,LONGITUDE,GeometryLongitude,GeometryLatitude
56,Building information and age records,樓宇資料及樓齡紀錄,THE HILLGROVE ALDER BLK A2 9 TSING FAT LANE,漣山A2 屯門 青發里9號,Tuen Mun,屯門,New Territories,新界,5304176,5304176,NT48/2002(OP),NT48/2002(OP),2002-07-30,2002-07-30,Tower,座,Residential/Composite,住宅/綜合用途,22.36602584,114.0005861,114.0005860996688,22.36602584012047
57,Building information and age records,樓宇資料及樓齡紀錄,THE HILLGROVE ALDER BLK A4 9 TSING FAT LANE,漣山A4 屯門 青發里9號,Tuen Mun,屯門,New Territories,新界,5304178,5304178,NT48/2002(OP),NT48/2002(OP),2002-07-30,2002-07-30,Tower,座,Residential/Composite,住宅/綜合用途,22.36608522,114.0003089,114.00030889983589,22.366085219657236
58,Building information and age records,樓宇資料及樓齡紀錄,THE HILLGROVE BANYAN BLK B2 9 TSING FAT LANE,漣山B2 屯門 青發里9號,Tuen Mun,屯門,New Territories,新界,5304179,5304179,NT48/2002(OP),NT48/2002(OP),2002-07-30,2002-07-30,Tower,座,Residential/Composite,住宅/綜合用途,22.36610799,113.9999806,113.99998059962502,22.36610798959208
59,Building information and age records,樓宇資料及樓齡紀錄,THE HILLGROVE CEDAR BLK C3 9 TSING FAT LANE,漣山C3 屯門 青發里9號,Tuen Mun,屯門,New Territories,新界,5304183,5304183,NT48/2002(OP),NT48/2002(OP),2002-07-30,2002-07-30,Tower,座,Residential/Composite,住宅/綜合用途,22.36561306,113.999342,113.99934200003338,22.36561306029455
60,Building information and age records,樓宇資料及樓齡紀錄,THE HILLGROVE EBONY BLK E2 9 TSING FAT LANE,漣山E2 屯門 青發里9號,Tuen Mun,屯門,New Territories,新界,5304184,5304184,NT48/2002(OP),NT48/2002(OP),2002-07-30,2002-07-30,Tower,座,Residential/Composite,住宅/綜合用途,22.36555959,113.999834,113.99983400023893,22.365559590202963
61,Building information and age records,樓宇資料及樓齡紀錄,THE HILLGROVE THE CRESCENT II 9 TSING FAT LANE,漣山II 屯門 青發里9號,Tuen Mun,屯門,New Territories,新界,5304185,5304185,NT48/2002(OP),NT48/2002(OP),2002-07-30,2002-07-30,Tower,座,Residential/Composite,住宅/綜合用途,22.3652288,113.9990089,113.99900890014067,22.36522879976934
62,Building information and age records,樓宇資料及樓齡紀錄,THE HILLGROVE THE CRESCENT III 9 TSING FAT LANE,漣山III 屯門 青發里9號,Tuen Mun,屯門,New Territories,新界,5304186,5304186,NT48/2002(OP),NT48/2002(OP),2002-07-30,2002-07-30,Tower,座,Residential/Composite,住宅/綜合用途,22.36525722,113.9988626,113.9988626002289,22.365257220144656
63,Building information and age records,樓宇資料及樓齡紀錄,THE HILLGROVE THE CRESCENT V 9 TSING FAT LANE,漣山V 屯門 青發里9號,Tuen Mun,屯門,New Territories,新界,5304187,5304187,NT48/2002(OP),NT48/2002(OP),2002-07-30,2002-07-30,Tower,座,Residential/Composite,住宅/綜合用途,22.36533934,113.9987731,113.99877309969884,22.365339339938657
64,Building information and age records,樓宇資料及樓齡紀錄,THE HILLGROVE THE CRESCENT VI 9 TSING FAT LANE,漣山VI 屯門 青發里9號,Tuen Mun,屯門,New Territories,新界,5304188,5304188,NT48/2002(OP),NT48/2002(OP),2002-07-30,2002-07-30,Tower,座,Residential/Composite,住宅/綜合用途,22.36547188,113.9987419,113.9987419004184,22.36547188022314
65,Building information and age records,樓宇資料及樓齡紀錄,THE HILLGROVE THE CRESCENT VII 9 TSING FAT LANE,漣山VII 屯門 青發里9號,Tuen Mun,屯門,New Territories,新界,5304189,5304189,NT48/2002(OP),NT48/2002(OP),2002-07-30,2002-07-30,Tower,座,Residential/Composite,住宅/綜合用途,22.36561803,113.9987902,113.99879020030755,22.365618029948166
